03/09/2018 analyzed on 07/10/18 frac.diff. = (measured-ideal)/ideal * 1e15
MJD	Al vs Yb frac.diff. from(2.1628871275166585754)	Sr vs Yb frac.diff. from(1.2075070393433381221)	Al/Sr vs Yb frac.diff. from(2.6117014317814574243)	
58186.29635276	NaN	NaN	NaN
58186.29636467	NaN	NaN	NaN
58186.29637659	NaN	NaN	NaN
58186.29638854	NaN	NaN	NaN
58186.29640046	NaN	NaN	NaN
58186.29641236	NaN	NaN	NaN
58186.29642428	NaN	NaN	NaN
58186.29643618	NaN	NaN	NaN
58186.29644809	NaN	NaN	NaN
58186.29646000	NaN	NaN	NaN
58186.29647189	NaN	NaN	NaN
58186.29648379	NaN	NaN	NaN
58186.29649570	NaN	NaN	NaN
58186.29650762	NaN	NaN	NaN
58186.29651952	NaN	NaN	NaN
58186.29653143	NaN	NaN	NaN
58186.29654333	NaN	NaN	NaN
58186.29655523	NaN	NaN	NaN
58186.29656715	NaN	NaN	NaN
58186.29657905	NaN	NaN	NaN
58186.29659095	NaN	NaN	NaN
58186.29660285	NaN	NaN	NaN
58186.29661474	NaN	NaN	NaN
58186.29662664	NaN	NaN	NaN
58186.29663854	NaN	NaN	NaN
58186.29665044	NaN	NaN	NaN
58186.29666234	NaN	NaN	NaN
58186.29667425	NaN	NaN	NaN
58186.29668615	NaN	NaN	NaN
58186.29669808	NaN	NaN	NaN
58186.29670999	NaN	NaN	NaN
58186.29672189	NaN	NaN	NaN
58186.29673380	NaN	NaN	NaN
58186.29674572	NaN	NaN	NaN
58186.29675762	NaN	NaN	NaN
58186.29676951	NaN	NaN	NaN
58186.29678142	NaN	NaN	NaN
58186.29679335	NaN	NaN	NaN
58186.29680524	NaN	NaN	NaN
58186.29681714	NaN	NaN	NaN
58186.29682905	NaN	NaN	NaN
58186.29684095	NaN	NaN	NaN
58186.29685286	NaN	NaN	NaN
58186.29686476	NaN	NaN	NaN
58186.29687667	NaN	NaN	NaN
58186.29688858	NaN	NaN	NaN
58186.29690049	NaN	NaN	NaN
58186.29691240	NaN	NaN	NaN
58186.29692430	NaN	NaN	NaN
58186.29693622	NaN	NaN	NaN
58186.29694814	NaN	NaN	NaN
58186.29696006	NaN	NaN	NaN
58186.29697197	NaN	NaN	NaN
58186.29698388	NaN	NaN	NaN
58186.29699578	NaN	NaN	NaN
58186.29700769	NaN	NaN	NaN
58186.29701961	NaN	NaN	NaN
58186.29703151	NaN	NaN	NaN
58186.29704341	NaN	NaN	NaN
58186.29705531	NaN	NaN	NaN
58186.29706721	NaN	NaN	NaN
58186.29707912	NaN	NaN	NaN
58186.29709102	NaN	NaN	NaN
58186.29710294	NaN	NaN	NaN
58186.29711484	NaN	NaN	NaN
58186.29712675	NaN	NaN	NaN
58186.29713865	NaN	NaN	NaN
58186.29715056	NaN	NaN	NaN
58186.29716247	NaN	NaN	NaN
58186.29717437	NaN	NaN	NaN
58186.29718628	NaN	NaN	NaN
58186.29719817	NaN	NaN	NaN
58186.29721007	NaN	NaN	NaN
58186.29722198	NaN	NaN	NaN
58186.29723390	NaN	NaN	NaN
58186.29724583	NaN	NaN	NaN
58186.29725775	NaN	NaN	NaN
58186.29726965	NaN	NaN	NaN
58186.29728155	NaN	NaN	NaN
58186.29729345	NaN	NaN	NaN
58186.29730536	NaN	NaN	NaN
